file,ok,total,date,error,lines
uploads\1772887664479-17728876448562309712493608399391.jpg,True,11.8,,,"Doit: BA AS
[618 O É
1H NV
(hun é para cod
Fatura Simplio cada
giol Processad
certo sado
EE
VER
ne
LEA
: SAND: PEL
É
1 COCA COLA ZESO Q,) ""
ol"" ni the LA titia ha
n"" Nino: 1
Praga 04 Camerata
)
Fra)
1
UOBIA
fo!
RI
et
t
U
na
4
io
""
""
""
Vi 09/101€
(
j
he EIA]
ATGIO JEOGOIBÇÃAO IO |
o
11)
Ama
comido
192
e
Oeflinan: É 1-8 ” 485
BALCAO ,fhátero:! o por ul / No PANTDA
Er o Re ao: - e = eo
” À. F “|” 383 3320
, Clledte ): oo Ask
Mada : PAO co
qm PROTO Pé VA DR É mM
É 0O3ÍENU SaDE Era Pr
A FLUTE CONTO £, 957 2
dá SAND? LETTAO Ku)
— 1 003 MENU SIDE 11.80
2 B imo cuco
.- TONE A o o an"
uploads\1772887734492-17728877191348141214923847109740.jpg,True,7.65,,,"03/101692
"" EG)
91 f essady; Bor fo ama
rt ido nº 2 3! 10)
C)) GRABC4=-16 13
13) SATR 4]
ESTA AE,
ICE TIP PLS AMENA
NUELSAA AROS
ÁREA a go O
EO no ato á db
[78 ASA
Oelbina) | 2 L -26 13:48
BALCÃO É erd do por LéNé SANTOS
2 NF 266313520
Dijete || EAEIXAR
É ido 1 RARA RAS
mo PRº WTC VA OR IVA
1 é e TA 55 23% é
1 SAND= 1 ELTAO 1355 13%
1 603 HENIJ SSDE E TA 11.90
1 COCA DUBLA ZE O Q,3 40 238
1 SAHD= TELTAG «502 19% ó
1 FLXE “MO áCTOr 23%
TOTAL À : BO
CARTAO DEBIT)I 26.50
TAXE [Va TOTAL
13% 2 18.85
23% 43 7.65
EM
“igor"
uploads\1772887952686-17728879380772821746171518700242.jpg,True,,,,"dA
N
=
Ro Ro,
RR"
uploads\1772887962274-17728879380772821746171518700242.jpg,True,,,,"dA
N
=
Ro Ro,
RR"
uploads\1772888321680-17728882974871367497592793960179.jpg,True,26.5,,,"Fatura ST cada
aih Pr bressady Bor £rag'ama
certiticado 1. 23 A Ótica,
Ã Sean 39 man kardo
es %
e 2 À õ - : É Y TM . e. ——
de : SO o ivoBook
MERAS ARS +
Original | Qo6 28 13:48 ne :
aço era: do por AR a SANTOS Na
a a :
NF 2689: Ra
Cfeite Dee
y dada es a
ano PR DUO OR IVA PATAS
7 (103 VEN Sá IDE 11.80
1 FATE INTO 55 23
1 SAND? VLELTAO 98 h
1 003 MENU SALOE | 11,90 É
1 COCA BULA ZE DL: rs LS
1 SANDS TEL AQ 50 13% % ;
1 FLUJE UNO 3470, 238
) *% à
TOTAL 26.50
la peer 26.50
TAXA LASE Da TOTAL %
19% ie 6) nm 18.85 Ns
x A “ 7.65 O
IVA Ins
(Ghana é (ara
PTNOUE
AMRS
41) 141thO0
/ do Lê
£ ”o.
b 6 GA Sen
O 1 Da Letão o que Treo
DB Fotn) e
conti Ibate
Praga to COM
CEARA OS
TEL ENMOVE
ud: nove)
tidy à taxa EM É vigor"
uploads\1772890499121-17728904899941825809293283920140.jpg,True,,,,"N kardon
(FUND ey
Wu
o AREA
Pai OP,
O CARA
ex to
LOS
ALAS IA
e apta
rp go,
eta
sr
tda
y
a
3
”
s
f
8"
uploads\1772890616916-17728906006374767681291095972718.jpg,True,,,,"Fá
peca
FIRST IT)
r 8 101698
ta"
uploads\1772891716834-17728917000681211801141519337628.jpg,True,2.45,2656-03-05,,"NE
rávia S.A
Rodaviê! ia, ; ft isã
sá Aguai 1há Edi tio
so Dom | he: le RA
""Quinta da |
97865 AQ
MURU Das: ais
seca:
ana ea t
( epi tal
FACTURA SIMPLIFILADA
Recibo: FS 031610626D02 que 1424 Uri ""
ata é Horá: PO ES o 8: j
Saida: 0 Rragã Sul f
Via: 106. Portageirãa BIB
trada: 0315 CO
itulo: Bem lido-Vraosito
Modo de Pagamento: Cartão Banca
TA.
Terminal Pagamento Automático: 126t ""”
2656-03-05 08:32:35 Perdcoa TIwAT Nsa2L ""” ,
MILLENNIUM BCP
CARTAD: axax3182/14 C: 91OBEADASAC à
ACOCOROGAZIGIA VISA
COMPRA 2,45 €
AUT: 146406 VISA DE N
SIBS
Partner in Payments
CONTACTLESS à»
Visa payWave
PROCESSADO POR SIBS
ATCUD: JBJXRKYM-CORIADA
Orma:
DERA"
uploads\1772892312759-17728923016507440145422389464268.jpg,True,2.45,2033,,"BOR - Brisa Concessão Rodoviária, S.A. id
Quinta da Torre da a Aguílha Edifício Bri5
27165-599 São Domingos de Rana
MCRC Cascais e NIPC 602 790 024
. ; NO BY
Capital Social: 75 908 000 é nen” kardon
FAGTIURA SIMPLIFICADA
Recibo: EX ;1062602/ 1002 1424 Original
à Hora: 2POC60305 08:32:42
0316 Braga Sul
Via: 105 Portageiro: 0184
trada: 0315 - Cruz
ttulo: Bem lido-Trânsito-
io de Pagamento: Cartão Bancário
viasse: 2 Taxa: 2 AE
ja 16: Pagamento Automático: 1266780
2033-005 08:32:35 Perdão Tra? Msg257
MILLENNI: JM BCP ""a
JENTAU: xxxx3182/14 TE? 910BE40A43AZEB 724
ACOCACOCA3 1010 VISA
COMPRA 2,45 €
T: 146406 VISA DB À
Í
Í
Visa payWave
PROCESSADO PDR SIBS"
uploads\1772892702499-1772892685181852216490614437940.jpg,True,2.45,,,"BCR - Brisa Concessão Rodoviária, S.A. À
Quinta da Torre da Aguilha - Edifício Brisa
2185-599 São Domingos de Rana
MCRU Cascais e NIPC 602 700 024
Cepital Social: 75 000 000 €
FACTURA SIMPLIFICADA
”
Recibo: FS 93161062602/0021424 Original | ASUS Viv
Data e Hora: 2or6-03:05 08:32:42 |
Saida: 0316 - Braga Ol Í
Via: 106 Portageiro: 01874 |
Entrada; 0315 - Cruz
Titulo: Bem lido-Trânsito-
Modo de Pagamento: Cartão Bancário
Classe: > flaxa: 2,45 €
ErgoLift t
Termina] Pagamento Automático: 1266780
cE-03-05 08:32:35 Perd2o Tro47 Msga57
MILLENNIUM: BCP
CARTAD: xxex3182/14 — TC: 910BE404342EBT2A
ACOCOGAGA3IHIO VISA
COMPRA 2,45 €
AUT: 146406 VISA DB N
SIBS
Partner in Payments
CONTACTLESS
Visa payWave
PROCESSADO POR SIBS
”—C
ATCUD: JBJXRAYM-002 1424
o artiaedo É DOI"
