data,fornecedor,tipo,total,iva,semiva,nif,ficheiro
2026-03-07,"N Farmacia py",despesa,21.45,4.01,17.44,,1773265953079-captura-1773265952474.jpg
2026-03-07,"Farmácia Porgy Gomes — Unipessoal LDA",receita,21.45,4.01,17.44,,1773266374879-captura-1773266374247.jpg
2026-03-07,"Farmácia Pereira Gomes - Unipessoal LDA",despesa,21.45,4.01,17.44,,1773263643531-captura-1773263642606.jpg
2026-03-06,"Moeda: EUR - EURO",receita,20.11,3.76,16.35,,1773253388357-piscapisca.pdf
2026-03-06,"Moeda: EUR - EURO",receita,20.11,3.76,16.35,,1773253145233-piscapisca.pdf
2026-03-06,"pisca pisca",despesa,20.11,3.76,16.35,,1773253026170-piscapisca.pdf
2026-03-06,"Moeda: EUR - EURO",receita,20.11,3.76,16.35,,1773253164650-piscapisca.pdf
2026-03-06,"pisca pisca",despesa,20.11,3.76,16.35,,1773253186186-piscapisca.pdf
2026-03-05,"BIR Brisa essão Rodoviária,S.A",despesa,2.45,0.46,1.99,,1772940723288-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
2026-03-05,"AO NATURAL",despesa,39.37,7.36,32.01,,1773266588301-captura-1773266587554.jpg
2026-03-05,"BIR Brisa essão Rodoviária,S.A",despesa,2.45,0.46,1.99,,1772940899069-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
2026-03-05,"BIR Brisa essão Rodoviária,S.A",despesa,2.45,0.46,1.99,,1773094691779-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
2026-03-05,"DBX International Unipessoal Lda",despesa,6457.50,1207.50,5250.00,,1773166523516-dbxinternational_fr_M-56.pdf
2026-03-05,"® FACTURA SIMPLIFICADA",receita,2.45,0.46,1.99,,1773231903486-captura-1773231902929.jpg
2026-03-05,"AO NATURAL",receita,39.37,7.36,32.01,,1773232173694-captura-1773232173180.jpg
2026-03-05,"AO NATURAL",despesa,39.37,7.36,32.01,,1773232228834-captura-1773232228223.jpg
2026-03-05,"DIAS RODRIGUES & VIEIRA,LDA",despesa,39.37,7.36,32.01,,1773233893354-captura-1773233892851.jpg
