Despesas
Data,Cliente/Fornecedor,Valor Sem IVA,IVA,Total
"25/11/2026","Moloni,Unipessoal,Lda","130.80","30.08","160.88"
"12/03/2026","INSPAREDES","75.03","18.49","93.52"
"11/03/2026","Clinica Sta Bárbara","52.03","11.97","64.00"
"11/03/2026","MOEDA","52.03","11.97","64.00"
"11/03/2026","A marchantaria do mercado","18.06","1.08","19.14"
"07/03/2026","N Farmacia py","17.44","4.01","21.45"
"07/03/2026","Farmácia Pereira Gomes - Unipessoal LDA","17.44","4.01","21.45"
"06/03/2026","pisca pisca","16.35","3.76","20.11"
"06/03/2026","pisca pisca","16.35","3.76","20.11"
"05/03/2026","DBX International Unipessoal Lda","5250.00","1207.50","6457.50"
"05/03/2026","AO NATURAL","32.01","7.36","39.37"
"05/03/2026","BIR Brisa essão Rodoviária,S.A","1.99","0.46","2.45"
"05/03/2026","BIR Brisa essão Rodoviária,S.A","1.99","0.46","2.45"
"05/03/2026","DIAS RODRIGUES & VIEIRA,LDA","32.01","7.36","39.37"
"05/03/2026","AO NATURAL","32.01","7.36","39.37"
"05/03/2026","BIR Brisa essão Rodoviária,S.A","1.99","0.46","2.45"
"03/03/2026","Moloni,Unipessoal,Lda","77.88","17.91","95.79"
"03/03/2026","TERES","21.54","4.96","26.50"
"03/03/2026","TERES","21.54","4.96","26.50"
"03/03/2026","Moloni,Unipessoal,Lda","77.88","17.91","95.79"
"24/02/2026","AEM Combustíveis é Lub {ficantes,Lda","0.00","20.00","20.00"
"24/02/2026","AGN Combustíveis é Lubrificantes,Lda","18.22","1.78","20.00"
"20/02/2026","Grés de Portugal","40607.56","9339.74","49947.30"
"13/02/2026","Exmo.(s) Senhor(es)","301.23","69.28","370.51"
"08/02/2026","insparedes","76.03","17.49","93.52"
"08/02/2026","|) la!","76.03","17.49","93.52"
"08/02/2026","ATOMÓVEIO","75.63","17.40","93.03"
"05/02/2026","DESCONTO LINHA","15979.74","20.26","16000.00"
"03/02/2026","pi ária À","0.00","0.00","2.45"
"02/02/2026","TERES","21.54","4.96","26.50"
"02/02/2026","pi ária À","1.99","0.46","2.45"
"01/02/2026","TERES","15.35","3.53","18.88"
"23/01/2026","pi ária À","0.00","0.00","2.45"
"07/01/2026","EUR Sa |","0.00","0.00","18.85"
"07/01/2026","FAGTURA SIMPLIFICADA","1.99","0.46","2.45"
"06/01/2026","Brisalll lol","0.00","0.00","2.45"
"03/01/2026","teste","0.00","0.00","2.45"
"18/12/2025","Referência:","0.00","0.00","9.00"
"12/03/2025","Teste","130.80","30.08","160.88"
"20/02/2025","Grés de Portugal","40607.56","9339.74","49947.30"
"20/02/2025","Grés de Portugal","40607.56","9339.74","49947.30"
"20/02/2025","Grés de Portugal","40607.56","9339.74","49947.30"
"20/02/2025","Grés de Portugal","40607.56","9339.74","49947.30"
"20/02/2025","Grés de Portugal","40607.56","9339.74","49947.30"
"20/02/2025","Grés de Portugal","40607.56","9339.74","49947.30"
"20/02/2018","AT","162.60","37.40","200.00"
"20/02/2018","SEDE OU DOMICÍLIO","162.60","37.40","200.00"
"20/02/2018","SEDE OU DOMICÍLIO","162.60","37.40","200.00"
"20/02/2018","AT","162.60","37.40","200.00"
