id,data,fornecedor,tipo,valor,nif,ficheiro
145,2026-11-25,"Moloni,Unipessoal,Lda",despesa,160.88,,1772943145946-moloni_fr_M-316819.pdf
172,2026-03-11,"ol Ml cado,(df",receita,19.14,,1773264720184-captura-1773264719618.jpg
171,2026-03-11,"A marchantaria do mercado",despesa,19.14,,1773263992645-captura-1773263991987.jpg
160,2026-03-11,"MOEDA",despesa,64.00,,1773233323873-FRM37930.pdf
169,2026-03-11,"Clinica Sta Bárbara",despesa,64.00,,1773254616694-1773233323873-FRM37930 (1).pdf
174,2026-03-07,"N Farmacia py",despesa,21.45,,1773265953079-captura-1773265952474.jpg
176,2026-03-07,"Farmácia Porgy Gomes — Unipessoal LDA",receita,21.45,,1773266374879-captura-1773266374247.jpg
170,2026-03-07,"Farmácia Pereira Gomes - Unipessoal LDA",despesa,21.45,,1773263643531-captura-1773263642606.jpg
166,2026-03-06,"Moeda: EUR - EURO",receita,20.11,,1773253164650-piscapisca.pdf
163,2026-03-06,"pisca pisca",despesa,20.11,,1773253026170-piscapisca.pdf
168,2026-03-06,"Moeda: EUR - EURO",receita,20.11,,1773253388357-piscapisca.pdf
167,2026-03-06,"pisca pisca",despesa,20.11,,1773253186186-piscapisca.pdf
165,2026-03-06,"Moeda: EUR - EURO",receita,20.11,,1773253145233-piscapisca.pdf
144,2026-03-05,"BIR Brisa essão Rodoviária,S.A",despesa,2.45,,1772940899069-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
161,2026-03-05,"DIAS RODRIGUES & VIEIRA,LDA",despesa,39.37,,1773233893354-captura-1773233892851.jpg
159,2026-03-05,"AO NATURAL",despesa,39.37,,1773232228834-captura-1773232228223.jpg
158,2026-03-05,"AO NATURAL",receita,39.37,,1773232173694-captura-1773232173180.jpg
157,2026-03-05,"® FACTURA SIMPLIFICADA",receita,2.45,,1773231903486-captura-1773231902929.jpg
151,2026-03-05,"DBX International Unipessoal Lda",despesa,6457.50,,1773166523516-dbxinternational_fr_M-56.pdf
